Scenario,Graphique,Source,Dashboard,Ecart,Ecart_%,OK_KO
sans_filtre,COUT_PAR_LOT,458814541.77,458814541.77000016,1.7881393432617188e-07,3.8973031159027615e-16,OK
sans_filtre,COUT_PAR_BATIMENT,458814541.77000004,458814541.77000004,0.0,0.0,OK
sans_filtre,COUT_PAR_NIVEAU,458814541.77,458814541.77000004,5.960464477539063e-08,1.2991010386342538e-16,OK
sans_filtre,REPARTITION_LOT_NIVEAU,458814541.77,458814541.77000016,1.7881393432617188e-07,3.8973031159027615e-16,OK
lot_1,COUT_PAR_LOT,101586062.48,101586062.48,0.0,0.0,OK
lot_1,COUT_PAR_BATIMENT,101586062.48,101586062.48,0.0,0.0,OK
lot_1,COUT_PAR_NIVEAU,101586062.48,101586062.48,0.0,0.0,OK
lot_1,REPARTITION_LOT_NIVEAU,101586062.48,101586062.48,0.0,0.0,OK
batiment_principal,COUT_PAR_LOT,417866928.85,417866928.8500001,5.960464477539063e-08,1.4264025377511187e-16,OK
batiment_principal,COUT_PAR_BATIMENT,417866928.85,417866928.85,0.0,0.0,OK
batiment_principal,COUT_PAR_NIVEAU,417866928.84999996,417866928.85,5.960464477539063e-08,1.426402537751119e-16,OK
batiment_principal,REPARTITION_LOT_NIVEAU,417866928.8500001,417866928.8500001,0.0,0.0,OK
niveau_etage_1,COUT_PAR_LOT,66085379.64,66085379.64,0.0,0.0,OK
niveau_etage_1,COUT_PAR_BATIMENT,66085379.64,66085379.64,0.0,0.0,OK
niveau_etage_1,COUT_PAR_NIVEAU,66085379.64,66085379.64,0.0,0.0,OK
niveau_etage_1,REPARTITION_LOT_NIVEAU,66085379.64,66085379.64,0.0,0.0,OK
