Scenario,KPI,Expected,Backend,Ecart,Ecart_%,OK_KO
sans_filtre,CAPEX_TOTAL,458814541.77,458814541.77,0.0,0.0,OK
sans_filtre,CAPEX_LOCAL,877315228.61,877315228.61,0.0,0.0,OK
sans_filtre,CAPEX_IMPORT,285171793.44,285171793.44,0.0,0.0,OK
sans_filtre,ECONOMIE,418500686.84000003,418500686.84000003,0.0,0.0,OK
sans_filtre,TAUX,0.47702430459695067,0.47702430459695067,0.0,0.0,OK
lot_1,CAPEX_TOTAL,101586062.47999999,101586062.47999999,0.0,0.0,OK
lot_1,CAPEX_LOCAL,101586062.47999999,101586062.47999999,0.0,0.0,OK
lot_1,CAPEX_IMPORT,56396431.56,56396431.56,0.0,0.0,OK
lot_1,ECONOMIE,0.0,0.0,0.0,0.0,OK
lot_1,TAUX,0.0,0.0,0.0,0.0,OK
batiment_principal,CAPEX_TOTAL,417866928.85,417866928.85,0.0,0.0,OK
batiment_principal,CAPEX_LOCAL,753764224.9,753764224.9,0.0,0.0,OK
batiment_principal,CAPEX_IMPORT,253529176.26999998,253529176.26999998,0.0,0.0,OK
batiment_principal,ECONOMIE,335897296.04999995,335897296.04999995,0.0,0.0,OK
batiment_principal,TAUX,0.445626477025442,0.445626477025442,0.0,0.0,OK
niveau_etage_1,CAPEX_TOTAL,66085379.64,66085379.64,0.0,0.0,OK
niveau_etage_1,CAPEX_LOCAL,129276287.5,129276287.5,0.0,0.0,OK
niveau_etage_1,CAPEX_IMPORT,65625882.660000004,65625882.660000004,0.0,0.0,OK
niveau_etage_1,ECONOMIE,63190907.86,63190907.86,0.0,0.0,OK
niveau_etage_1,TAUX,0.4888050939736338,0.4888050939736338,0.0,0.0,OK
