lot_code,designation_pdf,total_ht_pdf,base_ht_db,total_local_db,ecart_base_ht_vs_pdf,ecart_total_local_vs_pdf,match_base_ht
LOT 1,GROS ŒUVRE ET DÉMOLITION,218723945.0,88335706.53,101586062.51,-130388238.47,-117137882.49,False
LOT 2,ÉTANCHÉITÉ,38856005.0,38856695.5,44685199.82,690.5,5829194.82,False
LOT 3,REVÊTEMENT DURS,152397863.0,152397862.0,175257541.3,-1.0,22859678.3,False
LOT 4,MENUISERIE ALUMINIUM ET VITRERIE,109091760.0,109091760.0,125455524.0,0.0,16363764.0,True
LOT 5,MENUISERIE MÉTALLIQUE ET FERRONNERIE,11614655.0,11614655.0,13356853.25,0.0,1742198.25,True
LOT 6,MENUISERIE BOIS,24456360.0,20144550.0,23166232.5,-4311810.0,-1290127.5,False
LOT 7,ÉLECTRICITÉ,175755050.0,30431550.0,34996282.5,-145323500.0,-140758767.5,False
LOT 8,CLIMATISATION,68459500.0,68459500.0,78728425.0,0.0,10268925.0,True
LOT 9,SÉCURITÉ INCENDIE ET VIDÉO SURVEILLANCE,18079150.0,18079150.0,20791022.5,0.0,2711872.5,True
LOT 10,PLOMBERIE SANITAIRE,47233525.0,64331025.0,73980678.75,17097500.0,26747153.75,False
LOT 11,FAUX PLAFOND ET CLOISONS BA13,27520144.0,27520144.0,31648165.6,0.0,4128021.6,True
LOT 12,ASCENSEUR,25300000.0,25300000.0,29095000.0,0.0,3795000.0,True
LOT 13,ALUCOBOND,159589381.0,74088757.5,85202071.12,-85500623.5,-74387309.88,False
LOT 14,PEINTURE,52589814.0,34231452.0,39366169.8,-18358362.0,-13223644.2,False
